2023-05-23-15-48: using tensorboard
2023-05-23-15-48: Get lr 3e-06 from base lr 3e-06 with none
2023-05-23-15-48: {'overall': {'trainable': '60.26M', 'non_trainable': '11.54M', 'total': '71.8M'}, 'transformer': {'trainable': '60.26M', 'non_trainable': '11.54M', 'total': '71.8M'}}
2023-05-23-15-48: Distributed, begin DDP the model...
2023-05-23-15-48: Distributed, DDP model done!
2023-05-23-15-48: Libritts: global rank 0: prepare solver done!
2023-05-23-15-48: Libritts: global rank 0: start training...
2023-05-23-16-10: Libritts: train: Epoch 0/500 iter 1600/11015 || | dur_loss: 0.1329 | loss: 4.2828 | vqdiff loss: 4.1499 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.8s | epoch_time: 21m:31s | spend_time: 21m:31s | left_time: 51d:10h:09m:59s
2023-05-23-16-11: Libritts: train: Epoch 0/500 iter 1700/11015 || | dur_loss: 0.1187 | loss: 27.1496 | vqdiff loss: 27.0309 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 22m:49s | spend_time: 22m:49s | left_time: 51d:07h:41m:23s
2023-05-23-16-13: Libritts: train: Epoch 0/500 iter 1800/11015 || | dur_loss: 0.1112 | loss: 46.3095 | vqdiff loss: 46.1984 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.5s | iter_time: 0.5s | iter_avg_time: 0.8s | epoch_time: 24m:08s | spend_time: 24m:08s | left_time: 51d:06h:09m:55s
2023-05-23-16-14: Libritts: train: Epoch 0/500 iter 1900/11015 || | dur_loss: 0.1088 | loss: 19.3193 | vqdiff loss: 19.2105 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 25m:26s | spend_time: 25m:26s | left_time: 51d:04h:22m:16s
2023-05-23-16-15: Libritts: train: Epoch 0/500 iter 2000/11015 || | dur_loss: 0.1340 | loss: 19.7804 | vqdiff loss: 19.6464 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 26m:47s | spend_time: 26m:47s | left_time: 51d:04h:48m:40s
2023-05-23-16-17: Libritts: train: Epoch 0/500 iter 2100/11015 || | dur_loss: 0.0988 | loss: 28.6409 | vqdiff loss: 28.5421 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.8s | epoch_time: 28m:06s | spend_time: 28m:06s | left_time: 51d:03h:52m:02s
2023-05-23-16-18: Libritts: train: Epoch 0/500 iter 2200/11015 || | dur_loss: 0.1242 | loss: 24.6625 | vqdiff loss: 24.5382 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 29m:26s | spend_time: 29m:26s | left_time: 51d:03h:25m:47s
2023-05-23-16-19: Libritts: train: Epoch 0/500 iter 2300/11015 || | dur_loss: 0.1200 | loss: 17.8856 | vqdiff loss: 17.7656 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.5s | iter_time: 0.5s | iter_avg_time: 0.8s | epoch_time: 30m:45s | spend_time: 30m:45s | left_time: 51d:02h:37m:38s
2023-05-23-16-21: Libritts: train: Epoch 0/500 iter 2400/11015 || | dur_loss: 0.1219 | loss: 9.5385 | vqdiff loss: 9.4166 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 32m:04s | spend_time: 32m:04s | left_time: 51d:01h:39m:00s
2023-05-23-16-22: Libritts: train: Epoch 0/500 iter 2500/11015 || | dur_loss: 0.1067 | loss: 18.2927 | vqdiff loss: 18.1861 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 33m:22s | spend_time: 33m:22s | left_time: 51d:00h:37m:18s
